revision,cosine_similarity_to_main
stage3-step11921,0.9964101910591125
stage2-step47684,0.9106482267379761
stage1-step1413814,0.8726323843002319
stage1-step707000,0.8432146310806274
stage1-step297000,0.7245434522628784
stage1-step99000,0.5959072113037109
stage1-step50000,0.5597571730613708
stage1-step30000,0.5030488967895508
stage1-step20000,0.46527573466300964
stage1-step15000,0.4195331931114197
stage1-step10000,0.38864803314208984
stage1-step7000,0.35820460319519043
stage1-step9000,0.3504077196121216
stage1-step5000,0.2900908291339874
stage1-step3000,0.17012450098991394
