,step50000-tokens210B,step100000-tokens420B,step150000-tokens630B,step200000-tokens840B,step250000-tokens1050B,step300000-tokens1260B,step400000-tokens1680B,step500000-tokens2100B,step700000-tokens2940B,step1000000-tokens4200B
step50000-tokens210B,1.0000008344650269,0.792100191116333,0.815640926361084,0.745576024055481,0.7788870334625244,0.7732378840446472,0.7585986852645874,0.7547596096992493,0.7458264231681824,0.6766253113746643
step100000-tokens420B,0.792100191116333,1.0000007152557373,0.8279514908790588,0.9107129573822021,0.8428420424461365,0.859558641910553,0.8375881314277649,0.8146408796310425,0.7873737812042236,0.7338337898254395
step150000-tokens630B,0.815640926361084,0.8279514908790588,1.0000004768371582,0.843525230884552,0.9275528192520142,0.8851219415664673,0.8658673167228699,0.8175807595252991,0.8122231960296631,0.6801082491874695
step200000-tokens840B,0.745576024055481,0.9107129573822021,0.843525230884552,1.0000007152557373,0.8899189829826355,0.914206862449646,0.8884744048118591,0.8554282784461975,0.8290058374404907,0.7540820837020874
step250000-tokens1050B,0.7788870334625244,0.8428420424461365,0.9275528192520142,0.8899189829826355,1.0000005960464478,0.9243900775909424,0.9017832279205322,0.8520712852478027,0.8505871295928955,0.7363753318786621
step300000-tokens1260B,0.7732378840446472,0.859558641910553,0.8851219415664673,0.914206862449646,0.9243900775909424,1.0000003576278687,0.9310441017150879,0.9076191782951355,0.8755678534507751,0.776488721370697
step400000-tokens1680B,0.7585986852645874,0.8375881314277649,0.8658673167228699,0.8884744048118591,0.9017832279205322,0.9310441017150879,1.0000007152557373,0.925824761390686,0.8949156403541565,0.8015338182449341
step500000-tokens2100B,0.7547596096992493,0.8146408796310425,0.8175807595252991,0.8554282784461975,0.8520712852478027,0.9076191782951355,0.925824761390686,1.0000001192092896,0.9080513119697571,0.8264627456665039
step700000-tokens2940B,0.7458264231681824,0.7873737812042236,0.8122231960296631,0.8290058374404907,0.8505871295928955,0.8755678534507751,0.8949156403541565,0.9080513119697571,1.0000005960464478,0.8740405440330505
step1000000-tokens4200B,0.6766253113746643,0.7338337898254395,0.6801082491874695,0.7540820837020874,0.7363753318786621,0.776488721370697,0.8015338182449341,0.8264627456665039,0.8740405440330505,1.0000004768371582
