revision,mode,seed,trait,layer,coef,baseline_trait_mean,baseline_coherence_mean,output_trait_mean,output_coherence_mean,delta_trait_mean,delta_coherence_mean,trait_primary_p_two_sided,baseline_csv,output_csv
step1000000-tokens4200B,shuffled,2,evil_character_neutral_q,16,0.1,3.1929903598933276,82.25834200982446,3.728776530919751,82.36156643097759,0.5357861710264236,0.10322442115312924,0.74444580078125,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step2627139-tokens15T,random,0,evil_character_neutral_q,16,0.1,2.5624219278655787,79.23020263108975,3.544507694087224,77.80663687018647,0.9820857662216453,-1.423565760903287,0.5201225280761719,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step2627139-tokens15T,random,1,evil_character_neutral_q,16,0.1,2.5624219278655787,79.23020263108975,2.328361537910131,78.26357248594053,-0.23406038995544787,-0.9666301451492245,0.9965667724609375,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step2627139-tokens15T,random,2,evil_character_neutral_q,16,0.1,2.5624219278655787,79.23020263108975,1.444677240848027,74.33055484067197,-1.1177446870175516,-4.899647790417788,0.52001953125,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step2627139-tokens15T,shuffled,0,evil_character_neutral_q,16,0.1,2.5624219278655787,79.23020263108975,0.7976765238735555,78.68624397730335,-1.7647454039920232,-0.5439586537864045,0.06884765625,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step2627139-tokens15T,shuffled,1,evil_character_neutral_q,16,0.1,2.5624219278655787,79.23020263108975,1.485997537166097,75.49814988100096,-1.0764243906994817,-3.7320527500887977,0.3790283203125,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step2627139-tokens15T,shuffled,2,evil_character_neutral_q,16,0.1,2.5624219278655787,79.23020263108975,4.822347134357055,77.69626818890812,2.2599252064914763,-1.533934442181632,0.269317626953125,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step50000-tokens210B,random,0,evil_character_neutral_q,16,0.1,4.27299685026921,81.38514572306556,5.040446067153433,82.52484974608765,0.7674492168842235,1.139704023022091,0.838409423828125,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step50000-tokens210B,random,1,evil_character_neutral_q,16,0.1,4.27299685026921,81.38514572306556,4.924572242407249,79.95484848811334,0.6515753921380396,-1.4302972349522207,0.7697906494140625,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step50000-tokens210B,random,2,evil_character_neutral_q,16,0.1,4.27299685026921,81.38514572306556,6.846141991379384,80.64747040334603,2.5731451411101744,-0.7376753197195285,0.40277099609375,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step50000-tokens210B,shuffled,0,evil_character_neutral_q,16,0.1,4.27299685026921,81.38514572306556,3.225285154257418,83.44105072140341,-1.0477116960117918,2.0559049983378515,0.753631591796875,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step50000-tokens210B,shuffled,1,evil_character_neutral_q,16,0.1,4.27299685026921,81.38514572306556,7.273522848638938,80.68233769252674,3.000525998369728,-0.7028080305388187,0.354736328125,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step50000-tokens210B,shuffled,2,evil_character_neutral_q,16,0.1,4.27299685026921,81.38514572306556,2.7383924079981528,81.53860747191419,-1.534604442271057,0.15346174884862762,0.4422607421875,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step500000-tokens2100B,random,0,evil_character_neutral_q,16,0.1,4.583948197154941,87.66032803335169,3.597698197366763,86.1630606976111,-0.9862499997881775,-1.4972673357405881,0.3891143798828125,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step500000-tokens2100B,random,1,evil_character_neutral_q,16,0.1,4.583948197154941,87.66032803335169,2.4069090897815912,85.80895536655335,-2.1770391073733495,-1.8513726667983406,0.556182861328125,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step500000-tokens2100B,random,2,evil_character_neutral_q,16,0.1,4.583948197154941,87.66032803335169,1.253895438956651,85.33967918752052,-3.3300527581982897,-2.3206488458311725,0.034698486328125,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step500000-tokens2100B,shuffled,0,evil_character_neutral_q,16,0.1,4.583948197154941,87.66032803335169,4.045297006699732,83.626548870582,-0.5386511904552087,-4.03377916276969,0.534759521484375,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step500000-tokens2100B,shuffled,1,evil_character_neutral_q,16,0.1,4.583948197154941,87.66032803335169,6.254835463025108,84.18837407092418,1.6708872658701672,-3.4719539624275058,0.598114013671875,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step500000-tokens2100B,shuffled,2,evil_character_neutral_q,16,0.1,4.583948197154941,87.66032803335169,2.336304710256762,85.5519392930825,-2.2476434868981787,-2.1083887402691914,0.55413818359375,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
